transaction_amount,account_age_days,transaction_hour,previous_transactions,device_type,location_match,amount_vs_average,is_new_device,is_fraud
4486.59,421,16,34,0,1,6.95,0,0
4502.59,496,8,50,0,1,1.29,0,0
3167.34,237,19,70,2,0,5.44,0,0
1698.45,1009,12,44,0,0,7.31,0,0
1749.3,219,1,76,0,0,5.58,0,0
3631.15,461,12,64,0,0,9.5,0,0
4486.07,663,8,13,1,1,1.1,1,0
4436.0,635,19,92,1,0,7.25,1,0
3900.48,990,5,2,0,1,8.26,0,0
3211.95,189,0,23,0,1,7.06,1,0
425.28,255,4,64,1,1,3.92,0,1
812.34,68,2,47,2,1,3.92,0,0
4493.28,616,3,9,0,1,5.91,0,1
3034.11,336,0,12,1,1,4.03,0,0
50.94,671,13,99,0,0,8.84,0,0
511.85,821,8,72,0,0,1.19,0,0
3319.19,874,23,13,0,0,6.43,1,0
30.28,300,3,99,0,0,1.43,0,0
808.24,357,17,9,0,1,5.45,0,0
2745.93,256,13,39,2,1,7.18,0,0
3461.02,1008,3,22,0,0,1.74,0,0
3261.55,353,9,98,0,1,7.07,0,0
1125.23,524,2,54,0,1,1.49,0,0
3562.34,950,22,62,1,1,6.24,0,0
1190.06,756,6,70,2,0,5.1,0,0
1630.37,284,9,41,0,0,3.05,1,0
3733.72,99,12,98,0,1,1.2,0,0
3249.92,197,3,65,0,0,7.38,1,1
4246.87,482,17,78,0,1,3.88,0,0
3289.78,878,10,72,0,1,0.96,1,0
2843.7,615,3,46,1,1,7.75,0,0
472.91,618,23,80,1,1,2.41,0,0
1841.74,368,13,51,1,0,7.39,0,0
1329.69,570,17,17,0,1,5.69,0,0
1223.73,590,7,78,0,0,2.03,1,0
4865.19,1066,9,17,1,1,0.86,0,0
1968.52,422,4,23,1,0,5.97,1,1
4460.77,836,22,22,0,1,0.35,0,0
3157.54,545,6,11,1,0,0.75,0,0
3975.08,71,11,22,0,1,7.05,0,0
2515.67,768,2,20,0,1,5.43,0,0
2886.63,307,3,63,0,1,3.33,1,0
2465.13,377,9,89,2,0,5.44,0,0
980.24,655,3,71,0,1,5.96,1,0
3613.65,678,14,93,2,1,5.7,0,0
1407.46,399,9,33,0,1,6.46,1,1
126.46,221,20,1,0,1,9.41,0,0
3229.13,182,21,68,1,1,3.95,0,0
889.67,307,15,30,0,0,3.08,0,0
4702.59,522,14,96,0,1,0.48,1,0
4769.87,1014,18,67,0,1,1.56,1,0
4574.75,4,19,69,1,1,1.15,0,0
1853.94,863,18,86,1,1,3.42,0,0
82.21,848,17,18,0,1,6.14,0,0
4641.95,804,11,71,0,1,0.56,0,0
2143.78,215,15,12,1,0,7.3,1,1
4833.44,972,0,64,0,1,4.03,0,0
4818.28,101,15,5,0,0,9.64,0,0
4265.78,963,1,70,0,1,5.73,0,0
1475.77,573,23,26,1,1,7.74,0,0
1928.56,658,14,78,0,1,8.63,1,0
4256.43,939,6,51,1,1,8.9,0,0
1588.03,1087,0,97,1,1,5.23,0,0
851.62,226,4,86,2,0,4.03,0,0
2786.22,105,9,47,1,0,5.65,0,0
4681.09,772,21,87,0,1,4.08,0,0
3481.67,429,20,78,1,0,2.48,0,1
2852.46,434,3,98,2,0,3.31,0,0
490.4,1052,13,67,0,1,2.4,0,0
3076.96,682,12,43,0,0,2.77,0,0
4950.32,588,0,16,0,0,1.03,0,1
704.72,1093,15,94,1,0,4.32,0,0
2594.06,866,22,37,0,1,2.43,0,0
4387.48,746,8,9,0,0,4.54,0,0
3705.14,864,21,53,1,1,7.94,0,0
3486.59,368,15,90,1,0,4.54,0,0
3513.91,251,18,5,0,1,9.55,0,0
1800.66,859,14,5,1,1,1.56,1,1
1471.49,856,13,51,1,1,8.52,0,0
4047.76,561,19,14,0,1,2.56,0,0
4051.52,294,9,67,1,1,9.35,0,1
4336.03,919,20,56,1,1,2.35,0,0
4566.64,433,11,55,2,1,7.49,1,1
2559.16,59,0,6,1,1,0.71,1,1
2510.07,969,20,50,2,1,6.34,0,0
3992.48,836,16,57,0,1,2.26,0,0
3251.57,199,8,63,0,1,6.73,0,1
3511.32,215,22,25,0,0,6.39,1,0
3979.98,898,18,57,0,1,9.24,0,0
4450.58,472,17,30,1,1,6.3,0,0
1693.29,247,6,65,0,1,4.14,0,0
1881.04,382,8,91,0,1,2.02,0,0
474.44,991,21,12,0,0,6.61,0,0
2893.51,927,20,17,0,1,1.25,1,1
184.53,560,11,93,0,1,8.3,0,1
2330.66,1075,6,74,0,0,2.55,1,0
2715.51,689,13,12,1,1,5.29,1,0
1436.27,380,14,23,0,1,6.0,1,0
2956.21,474,14,56,1,0,3.69,0,0
157.35,697,5,28,1,0,6.67,0,0
191.55,911,20,55,1,0,2.58,0,0
4113.89,960,13,53,0,1,0.44,1,0
1804.15,478,1,4,2,1,9.6,0,0
639.67,1004,7,34,1,0,3.27,0,0
2613.61,926,12,18,0,1,7.16,0,0
3851.12,707,22,54,0,0,5.12,0,0
1083.03,854,5,76,0,1,6.72,0,0
3116.34,1017,4,68,1,0,1.2,0,1
431.31,754,4,43,1,1,5.24,0,0
263.15,503,0,77,0,1,3.98,0,0
2659.12,817,8,37,0,1,4.57,0,0
2705.47,588,5,61,1,0,9.67,0,0
3188.96,708,19,21,1,0,1.45,0,0
3631.83,1068,6,72,1,1,7.57,0,0
4879.38,207,8,39,1,0,3.37,0,0
2583.92,151,4,25,1,1,2.97,1,0
1618.17,668,13,4,1,1,2.78,0,0
3976.96,528,4,92,0,1,3.55,0,1
1357.81,165,7,53,0,1,3.64,0,0
2197.66,917,6,85,1,1,2.78,0,0
396.89,1010,12,48,0,1,6.71,0,0
131.63,37,12,2,0,1,0.57,0,0
4813.43,333,7,91,1,1,3.39,0,0
4180.72,403,10,37,1,1,2.87,0,0
3481.39,414,17,13,1,0,7.54,1,1
2047.72,45,18,46,0,1,1.55,0,0
870.61,206,5,13,2,0,9.41,0,0
786.4,62,21,74,0,1,1.79,0,0
1254.96,420,1,72,1,0,3.76,0,0
2748.39,868,12,37,0,1,2.08,0,0
3574.41,820,22,63,0,1,2.94,0,0
3302.69,19,10,43,0,1,7.63,0,0
1403.27,365,0,69,1,1,4.82,0,0
4774.55,1031,23,64,0,0,1.71,0,1
3690.8,428,1,24,1,1,0.56,0,0
2774.0,580,16,15,0,1,2.38,0,0
3060.55,546,7,14,0,1,9.46,0,0
2100.9,325,1,97,1,1,8.47,0,0
1242.42,55,5,80,2,1,4.46,0,0
1783.08,778,21,2,0,1,4.87,1,0
3790.44,992,4,66,1,1,9.0,0,0
76.9,42,15,36,2,0,5.95,1,0
584.78,231,7,80,1,1,8.82,1,0
234.78,453,18,54,1,1,4.97,0,0
208.44,394,15,37,0,0,2.08,0,0
4278.03,691,12,62,0,1,7.29,0,0
3519.77,392,19,0,0,0,5.31,0,0
2373.5,604,6,70,0,0,6.72,1,0
493.68,881,15,89,1,1,1.66,0,1
2460.62,85,22,18,0,1,6.51,0,0
2369.99,1054,15,51,0,0,3.88,0,0
870.14,49,11,29,2,1,3.39,0,0
2172.09,69,13,54,1,1,6.75,1,0
1995.53,1082,23,13,2,0,5.96,1,0
3081.17,697,17,12,1,1,6.53,0,0
3177.29,479,17,83,0,1,9.66,0,0
231.29,820,15,89,1,1,7.04,0,0
1876.19,147,19,26,1,0,6.44,0,1
3131.17,1016,15,88,0,1,6.17,1,0
2518.17,609,12,8,0,0,4.05,0,0
4283.17,446,8,40,0,0,8.41,0,1
3295.17,221,8,47,1,1,3.87,0,0
818.86,95,12,11,0,0,7.03,0,1
357.49,262,3,9,1,0,3.0,0,0
3213.88,897,8,5,0,1,1.56,0,0
137.42,219,14,33,0,1,1.38,0,0
2930.95,92,13,51,0,0,6.38,0,1
4701.45,127,18,40,0,1,3.35,0,1
2879.49,80,11,82,0,0,2.82,0,0
1943.91,983,20,5,0,1,5.96,0,0
3218.22,916,5,1,0,0,0.35,1,0
2293.97,486,2,14,2,1,2.54,1,0
2730.36,694,21,16,1,1,3.47,0,0
4707.62,25,19,15,1,0,7.11,0,1
1933.58,156,15,27,2,1,5.5,0,1
4806.15,632,19,84,2,1,8.57,0,0
4527.23,1081,23,71,1,1,3.41,1,0
982.98,19,22,9,0,1,3.03,0,0
351.46,237,16,9,1,1,0.43,0,0
508.39,277,15,9,1,1,9.52,0,0
96.02,745,5,72,1,1,5.06,0,1
476.74,552,7,27,1,1,5.07,1,0
3416.62,639,18,23,0,1,9.24,1,0
360.59,237,1,18,2,1,2.97,0,0
1598.28,998,13,96,0,1,3.39,0,0
4225.15,55,21,67,0,1,6.6,0,0
121.24,684,11,55,0,1,7.87,0,1
4073.27,109,16,66,0,0,7.02,0,0
1412.86,373,14,41,0,1,7.91,0,0
595.23,973,17,11,0,1,5.79,1,0
3485.2,201,15,17,2,1,8.64,0,0
3146.57,849,12,22,0,1,5.55,0,0
4387.97,509,20,83,1,1,2.37,0,0
3676.68,275,16,5,1,1,5.46,0,0
4018.39,211,7,52,1,1,7.16,1,0
1413.76,504,0,97,0,1,6.57,0,0
891.31,703,2,41,1,0,2.51,1,1
3754.32,42,15,65,0,1,0.51,0,0
4035.14,315,1,29,0,1,2.6,1,0
4952.57,788,14,8,1,1,9.84,0,1
2066.03,329,0,90,2,1,1.93,0,1
1863.23,1041,8,41,1,1,4.7,0,0
3883.18,283,15,33,0,0,6.42,0,0
1707.31,943,3,39,0,1,8.81,0,0
4654.13,258,11,87,0,0,7.63,0,0
4292.77,575,0,16,1,1,9.1,0,0
2147.83,574,0,28,0,0,6.08,1,0
3755.6,612,6,99,1,1,8.67,0,0
3773.94,1043,17,49,0,1,2.71,1,0
520.1,837,22,75,0,0,4.36,0,1
4513.25,423,22,94,0,1,8.45,0,0
2528.74,758,14,48,0,0,3.32,0,0
4133.16,763,12,72,1,0,8.73,1,0
1603.65,424,15,60,2,1,3.69,0,1
4478.14,429,6,82,0,1,3.7,0,1
1949.06,204,15,45,0,0,3.16,0,0
59.13,196,12,45,2,1,5.51,0,0
4527.38,728,13,16,1,1,1.38,1,0
460.98,285,16,65,2,0,0.46,0,0
1599.97,196,11,4,0,1,8.98,0,0
4750.56,307,23,53,0,1,9.3,0,0
4753.28,14,23,15,0,1,0.85,0,0
2869.32,1081,19,80,0,1,5.54,0,0
3161.03,723,12,90,1,1,5.44,0,0
2244.99,780,23,6,0,1,3.79,0,0
1469.59,529,19,7,1,1,5.73,0,0
1646.68,798,14,71,0,1,4.64,0,0
3364.23,344,23,86,1,0,4.95,0,0
3763.11,209,20,95,0,1,7.58,1,1
3958.94,641,3,81,0,1,5.31,0,0
3949.14,252,21,37,1,1,3.3,0,0
460.57,271,1,53,0,1,5.86,0,0
2474.63,920,17,75,0,1,6.44,0,0
292.51,419,1,14,0,0,6.66,0,0
2749.9,795,14,91,1,1,6.22,0,0
2210.44,725,18,49,1,0,6.68,1,1
4439.08,433,14,55,1,1,3.17,0,1
1757.82,109,19,94,2,1,4.52,0,0
589.75,641,9,8,2,0,6.72,0,1
719.24,1071,23,7,1,1,7.57,0,0
3808.75,379,19,18,1,1,4.4,0,0
3093.0,958,10,50,1,1,3.72,0,1
510.11,103,9,71,0,0,7.19,0,0
425.11,892,22,97,2,1,2.3,0,0
3506.34,854,4,56,1,1,0.19,1,1
368.45,1051,8,67,0,1,4.76,0,0
4110.19,530,19,30,0,1,1.82,0,0
3532.68,679,18,2,0,1,3.84,0,0
411.34,989,12,98,0,1,2.98,0,0
428.76,428,17,82,0,1,7.79,0,0
4933.26,822,16,42,0,1,3.38,1,1
1874.48,932,5,28,0,1,6.44,0,0
1856.36,1062,9,9,1,1,6.77,0,0
4064.93,511,1,11,0,1,4.62,1,0
4736.51,393,23,45,0,1,0.9,0,0
4930.08,713,5,29,0,1,7.03,0,0
3768.12,494,20,93,1,1,0.84,0,1
1884.42,547,12,81,0,1,1.08,0,0
422.09,594,17,87,0,0,2.04,0,0
3886.85,389,6,31,1,1,2.88,1,0
2794.23,158,1,72,0,0,8.48,0,0
2123.99,1028,13,46,0,0,6.78,0,0
4532.24,167,4,87,0,0,3.93,0,0
560.43,960,17,62,1,1,9.79,0,0
2465.66,409,10,25,1,1,2.51,0,0
61.71,194,9,2,1,0,6.14,0,0
2345.96,235,10,22,0,1,8.49,0,0
286.23,718,1,74,1,0,8.04,1,0
598.5,816,14,73,0,1,0.99,0,0
592.04,404,6,49,0,1,7.0,0,0
3247.81,893,8,35,0,0,2.65,0,0
3731.49,678,4,12,1,0,3.62,0,0
2918.93,68,6,28,0,1,4.94,0,0
4811.05,88,19,37,1,1,7.93,0,0
1877.48,217,1,76,1,0,1.75,0,0
1432.13,1,2,89,0,1,1.17,0,0
4343.65,140,1,83,0,1,1.62,0,0
1121.86,618,20,4,0,1,2.26,1,0
4816.3,133,21,19,0,1,0.69,0,0
65.71,178,22,77,0,1,9.27,0,0
4849.54,810,18,13,2,1,3.26,0,0
220.58,380,3,7,0,1,1.85,0,0
4456.26,908,23,47,1,1,6.41,0,0
2640.87,658,19,12,0,0,7.89,0,0
4964.86,450,6,23,1,1,7.56,0,0
373.61,586,21,78,1,0,7.22,0,1
2771.5,463,6,64,1,0,0.6,0,0
4846.67,990,16,85,2,1,7.84,1,1
2617.87,122,18,33,0,1,5.07,0,0
3148.85,17,21,50,0,0,6.53,0,1
3480.26,327,15,2,1,1,9.57,0,0
2275.43,318,2,89,1,1,8.13,0,0
3139.65,809,14,77,1,1,8.27,0,0
2923.65,503,13,57,0,0,1.9,0,0
4506.28,119,14,71,0,1,4.82,0,0
232.0,710,13,54,0,1,9.5,0,0
1408.41,45,6,79,1,1,5.87,1,1
4752.31,314,2,41,2,1,1.12,0,0
4451.87,418,16,20,1,1,7.35,1,0
2281.01,556,9,9,1,1,0.52,0,0
3102.56,326,14,56,1,1,7.45,0,0
1390.52,515,5,24,1,1,8.81,0,0
944.67,214,16,55,0,1,4.31,0,0
2321.17,74,16,37,1,0,4.19,1,0
1769.99,509,13,85,0,1,3.11,0,0
2920.36,332,23,60,1,1,8.78,0,0
393.28,688,17,46,0,0,5.52,0,0
4872.1,657,4,53,1,1,5.83,0,0
4931.12,1028,7,45,1,1,6.65,0,0
3492.32,600,6,67,1,1,3.07,0,0
2682.8,1076,22,3,1,0,4.38,0,0
1551.09,325,3,93,1,1,7.44,1,1
4069.91,992,17,65,1,1,9.86,0,0
3425.23,717,4,92,0,1,0.44,0,0
817.27,723,15,42,1,0,0.52,0,0
4555.08,277,13,61,0,1,4.34,0,0
4113.57,536,18,99,1,1,6.63,0,1
4749.25,152,13,84,1,1,3.93,0,0
3629.97,955,8,84,1,0,10.0,0,0
3069.01,259,5,84,1,1,2.03,0,0
2094.12,324,16,3,1,1,0.18,0,0
4663.98,1017,18,64,1,0,1.98,0,0
4330.99,869,11,61,0,0,8.88,0,1
230.87,688,3,89,2,0,1.54,0,0
136.7,310,15,1,1,0,4.84,1,0
1885.43,803,10,8,0,1,4.25,1,0
4053.71,1080,21,56,1,1,6.69,1,0
4936.44,620,3,44,1,0,0.64,0,0
756.33,473,16,17,2,1,6.62,0,0
2972.68,461,7,47,1,1,3.61,0,0
1907.55,814,13,41,0,0,9.27,0,0
4849.72,846,1,40,0,1,8.5,0,1
4211.38,667,10,74,1,0,4.06,0,0
4192.45,262,10,88,1,1,9.93,0,0
2346.12,355,23,89,1,0,0.61,0,0
2077.02,770,21,57,0,1,7.91,0,0
1370.67,180,23,99,1,0,4.39,1,1
286.6,66,5,41,1,1,4.39,0,0
4324.29,820,20,34,0,1,1.78,1,0
4065.44,171,20,37,0,1,5.2,0,0
4998.59,474,13,66,0,1,0.94,0,0
4983.2,534,9,40,0,0,6.2,0,0
2779.38,439,7,98,0,1,2.49,0,0
3846.09,835,6,49,0,1,7.28,0,0
4724.1,227,7,85,1,1,6.11,0,0
4248.99,442,7,71,0,0,7.49,0,0
1240.5,396,22,78,0,0,7.52,0,0
2255.47,728,1,44,0,1,2.05,0,0
650.15,84,15,70,0,0,0.11,0,0
4770.48,1037,8,18,1,1,3.72,0,0
3032.84,693,12,16,0,0,9.2,0,0
1147.07,493,22,64,1,1,5.82,1,0
3360.14,970,11,92,1,1,7.3,0,0
3092.55,353,21,76,0,0,8.81,0,0
1794.02,1081,16,55,1,1,9.07,0,0
572.22,40,1,92,1,1,5.34,0,0
3359.51,640,12,40,0,1,5.46,0,1
2603.94,173,0,41,1,1,8.52,0,0
3862.73,259,18,5,1,0,8.09,0,0
2603.22,517,10,68,1,0,7.02,0,0
4261.65,730,4,97,0,1,6.08,1,1
2761.77,523,0,74,2,1,6.21,0,0
2806.89,839,19,72,0,1,3.69,0,0
4383.88,117,12,39,0,0,8.43,0,0
2020.4,184,7,40,0,1,6.22,0,0
674.41,162,5,8,1,1,2.31,1,0
148.77,543,16,7,1,0,2.47,0,1
3776.91,839,11,43,0,1,8.63,0,0
3103.45,1090,0,57,0,1,6.29,1,1
3521.88,1094,2,66,1,1,4.05,0,1
1068.76,447,13,12,2,1,1.95,0,0
686.18,416,7,18,0,1,6.14,0,0
77.65,532,10,97,1,0,1.92,0,0
1756.18,441,13,95,0,1,4.75,1,1
2951.64,738,7,48,1,0,6.81,1,0
1964.26,464,2,79,1,1,5.7,0,0
2190.19,396,6,99,0,1,9.23,1,0
4521.27,711,18,81,1,1,0.49,0,0
1744.54,395,3,77,2,1,2.87,0,0
2572.38,326,15,29,0,1,0.67,0,0
3919.35,750,12,65,0,0,2.03,0,1
1985.73,1094,19,76,0,0,1.33,0,0
3112.32,642,18,90,0,1,7.35,0,0
4312.51,214,4,58,1,1,3.76,0,0
4747.86,369,22,52,0,1,9.26,1,0
739.63,49,4,51,1,1,0.33,1,0
4633.31,1076,19,80,0,1,6.56,0,0
2463.12,133,23,30,2,0,9.71,0,0
1294.93,999,3,14,0,1,1.84,1,0
2298.38,786,1,19,0,1,4.48,0,0
4900.26,373,12,4,0,1,7.05,1,0
2465.63,479,15,6,1,1,6.37,0,1
1647.11,832,21,17,0,0,5.7,0,1
3168.84,650,1,55,0,1,3.33,0,0
1204.53,682,18,74,1,1,7.31,0,0
383.94,688,16,95,1,0,6.57,0,0
648.75,82,4,90,1,1,1.71,0,0
644.59,87,17,89,0,1,9.64,0,1
763.75,225,22,44,0,1,5.6,0,0
698.44,16,20,27,1,1,5.3,0,0
3206.17,822,17,49,0,1,8.5,1,0
913.49,163,7,1,0,0,6.44,0,1
1731.61,514,14,83,0,0,0.84,0,0
4484.46,350,12,67,2,1,5.12,1,0
2372.44,681,12,76,0,0,7.83,0,0
3339.45,181,15,23,1,1,7.03,0,0
865.74,743,21,47,0,1,9.71,0,0
965.48,660,19,44,1,1,0.35,0,0
209.14,493,12,92,1,1,2.69,0,0
848.83,923,19,57,0,0,5.54,0,1
1396.56,128,1,35,0,1,6.23,0,1
889.17,565,2,1,1,1,2.82,0,0
448.07,550,14,17,0,1,8.29,0,0
607.58,453,22,48,1,1,1.73,0,0
2306.59,471,18,7,1,0,0.11,0,0
1035.64,988,12,57,1,1,9.53,0,0
