customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST0017,Female,1,Yes,Yes,60,Yes,No phone service,Fiber optic,No internet,No,No internet,No,No,No,Month-to-month,No,Mailed check,111.93,3113.61,No
CUST0018,Female,1,No,Yes,30,Yes,No,Fiber optic,No,No,No,No,Yes,No internet,Month-to-month,Yes,Electronic check,59.45,1189.59,Yes
CUST0019,Male,0,Yes,No,21,No,No,DSL,No,No,No,Yes,No internet,No internet,Month-to-month,Yes,Electronic check,26.92,7856.36,Yes
CUST0020,Female,0,No,No,42,Yes,No,Fiber optic,No,Yes,No internet,No internet,No,No,One year,Yes,Mailed check,54.8,3021.07,No
CUST0021,Male,0,No,Yes,66,No,Yes,Fiber optic,No,No,No internet,Yes,Yes,No internet,Month-to-month,No,Bank transfer,39.01,5043.8,Yes
CUST0022,Female,1,No,No,53,No,Yes,Fiber optic,No internet,No,No,No,No,Yes,Month-to-month,No,Bank transfer,85.18,3972.02,No
CUST0023,Female,1,No,No,9,Yes,No,Fiber optic,No,No,No internet,Yes,Yes,No internet,Month-to-month,Yes,Mailed check,22.93,1228.34,Yes
CUST0024,Female,1,Yes,No,41,Yes,No,No,No,No,No internet,Yes,No internet,No,Month-to-month,No,Mailed check,49.19,538.79,No
CUST0025,Female,0,Yes,Yes,63,Yes,Yes,DSL,Yes,No,No,Yes,No,No,One year,Yes,Mailed check,74.52,5043.58,No
CUST0026,Female,0,Yes,Yes,20,Yes,No phone service,No,No,No,Yes,Yes,Yes,No internet,One year,No,Bank transfer,47.73,2051.47,Yes
CUST0027,Female,0,Yes,Yes,65,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,No internet,Month-to-month,Yes,Electronic check,75.1,2024.87,No
CUST0028,Female,0,Yes,No,40,Yes,Yes,DSL,No,Yes,No,Yes,No internet,Yes,Month-to-month,Yes,Bank transfer,31.47,7660.11,No
CUST0029,Female,1,Yes,No,23,Yes,No,DSL,Yes,No,No,No,No,No,One year,No,Bank transfer,114.28,3748.01,Yes
CUST0030,Male,1,Yes,Yes,34,No,Yes,DSL,Yes,No,No internet,Yes,No internet,Yes,Month-to-month,Yes,Electronic check,49.09,332.47,No
CUST0031,Male,1,No,Yes,55,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No internet,Month-to-month,No,Electronic check,112.3,2784.76,Yes
CUST0032,Female,1,Yes,Yes,29,Yes,Yes,DSL,Yes,No,No,No,Yes,No,Month-to-month,No,Electronic check,52.58,4717.48,Yes
CUST0033,Female,0,Yes,No,56,Yes,No,No,No,No,No internet,No internet,Yes,Yes,Month-to-month,Yes,Mailed check,98.18,2695.68,Yes
CUST0034,Female,0,No,Yes,46,Yes,No,DSL,No internet,No internet,No internet,No,No,No,Month-to-month,Yes,Bank transfer,44.62,312.13,Yes
CUST0035,Male,1,Yes,Yes,34,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Two year,No,Electronic check,86.98,3610.06,No
CUST0036,Female,1,Yes,No,18,Yes,No,DSL,No,Yes,Yes,Yes,Yes,No,One year,No,Mailed check,52.37,936.66,No
CUST0037,Male,0,No,No,7,Yes,Yes,No,No,Yes,No,No internet,No,Yes,One year,Yes,Credit card,70.92,4991.36,Yes
CUST0038,Male,0,Yes,No,25,Yes,No phone service,Fiber optic,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,87.38,4994.74,Yes
CUST0039,Male,0,Yes,Yes,70,No,Yes,DSL,No internet,No,No,Yes,Yes,No,One year,Yes,Electronic check,78.89,398.3,No
CUST0040,Male,1,Yes,No,29,Yes,No phone service,Fiber optic,Yes,Yes,No,No,No,Yes,Two year,No,Electronic check,77.63,2396.26,No
CUST0041,Male,0,No,No,6,Yes,No,Fiber optic,No,No,No internet,No,No,No,One year,No,Bank transfer,26.57,3368.12,Yes
CUST0042,Female,0,Yes,Yes,66,Yes,No phone service,Fiber optic,No,Yes,No,No internet,Yes,No,Month-to-month,No,Bank transfer,44.91,4447.09,No
CUST0043,Female,0,Yes,No,64,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes,One year,Yes,Mailed check,77.18,2438.9,No
CUST0044,Female,0,No,Yes,35,Yes,No,Fiber optic,No,No,Yes,No internet,Yes,No,Month-to-month,Yes,Credit card,21.83,2373.2,No
CUST0045,Female,0,Yes,Yes,24,No,Yes,Fiber optic,No,No,No,No,No,No,One year,No,Bank transfer,45.06,7865.82,No
CUST0046,Female,0,No,No,36,Yes,Yes,Fiber optic,No,Yes,Yes,No,No internet,No,Month-to-month,No,Electronic check,42.92,430.72,Yes
CUST0047,Male,0,No,No,0,Yes,No,DSL,No,No internet,No internet,Yes,Yes,Yes,Two year,Yes,Bank transfer,44.99,7913.46,Yes
CUST0048,Female,0,Yes,No,14,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,One year,No,Electronic check,73.56,477.24,No
CUST0049,Female,0,No,No,36,Yes,No,Fiber optic,No,Yes,No,No internet,No internet,Yes,Month-to-month,Yes,Bank transfer,,2377.9,Yes
CUST0050,Male,0,No,No,12,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No internet,No internet,Month-to-month,Yes,Electronic check,110.9,4000.16,Yes
CUST0051,Female,1,Yes,No,7,Yes,Yes,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer,58.6,1232.06,No
CUST0052,Male,0,No,Yes,4,Yes,No,Fiber optic,Yes,No internet,No,No internet,No internet,No internet,Month-to-month,No,Electronic check,112.66,1165.29,Yes
CUST0053,Female,0,No,Yes,59,Yes,No,No,No,No internet,No,Yes,No,No,Month-to-month,No,Credit card,85.2,2124.87,Yes
CUST0054,Male,1,Yes,No,0,Yes,No,DSL,No,No,Yes,No,No,No internet,Month-to-month,Yes,Electronic check,111.27,7790.71,Yes
CUST0055,Female,0,Yes,Yes,35,Yes,No,Fiber optic,No,No internet,No,No,Yes,No,Month-to-month,Yes,Bank transfer,103.35,3102.92,Yes
CUST0056,Female,0,Yes,No,34,Yes,No,Fiber optic,No internet,Yes,No,Yes,No,Yes,Two year,No,Electronic check,88.76,4571.36,Yes
CUST0057,Male,0,No,Yes,65,Yes,Yes,No,No internet,Yes,No,Yes,Yes,No internet,Month-to-month,Yes,Credit card,55.61,5663.9,No
CUST0058,Male,0,Yes,Yes,62,Yes,No,Fiber optic,No,No internet,Yes,No,No internet,Yes,Month-to-month,No,Bank transfer,44.11,5963.55,Yes
CUST0059,Male,0,No,Yes,22,Yes,No phone service,DSL,No,No,No,No,No internet,Yes,Month-to-month,No,Electronic check,42.24,5535.52,No
CUST0060,Male,0,No,No,8,Yes,No,No,Yes,No,Yes,No,No,Yes,Month-to-month,No,Credit card,115.22,2761.73,Yes
CUST0061,Male,0,No,Yes,33,Yes,No,Fiber optic,No,No,No,Yes,Yes,No internet,Month-to-month,Yes,Mailed check,,982.65,No
CUST0062,Male,0,No,No,45,Yes,No,DSL,Yes,No internet,Yes,No internet,Yes,No,One year,Yes,Bank transfer,92.48,2325.56,Yes
CUST0063,Male,0,No,Yes,3,Yes,No,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer,108.38,1761.33,No
CUST0064,Male,0,No,Yes,29,Yes,No,Fiber optic,No internet,No internet,Yes,No,Yes,No,One year,Yes,Electronic check,111.9,1176.59,No
CUST0065,Female,0,No,Yes,71,Yes,Yes,DSL,No,No,No internet,No,No,No,Two year,No,Credit card,71.16,293.52,No
CUST0066,Female,0,Yes,Yes,2,No,Yes,DSL,No,Yes,No,Yes,No internet,No,Month-to-month,Yes,Electronic check,82.91,7492.23,Yes
CUST0067,Male,0,Yes,Yes,13,Yes,No,No,Yes,No internet,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,61.88,7376.17,No
CUST0068,Female,1,No,No,59,No,Yes,DSL,No,Yes,Yes,No,Yes,No internet,Month-to-month,Yes,Credit card,61.85,498.29,No
CUST0069,Female,0,No,No,44,Yes,No,Fiber optic,Yes,No internet,No internet,No internet,No,Yes,One year,Yes,Bank transfer,23.84,1467.37,No
CUST0070,Female,0,Yes,Yes,33,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,63.38,1202.05,No
CUST0071,Female,0,No,Yes,44,Yes,No,Fiber optic,Yes,No,No,No,No internet,No,One year,Yes,Electronic check,87.35,2321.66,No
CUST0072,Male,0,Yes,Yes,60,Yes,Yes,Fiber optic,No,No,No internet,No,Yes,No,One year,Yes,Bank transfer,62.2,1712.14,No
CUST0073,Female,0,Yes,Yes,15,No,Yes,DSL,No,Yes,No internet,Yes,Yes,No,One year,No,Electronic check,107.24,7572.24,Yes
CUST0074,Male,1,Yes,No,65,Yes,No phone service,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card,53.26,764.95,No
CUST0075,Female,1,No,Yes,39,Yes,No,DSL,No,No internet,Yes,No internet,Yes,Yes,Month-to-month,Yes,Bank transfer,33.27,1772.2,No
CUST0076,Female,0,No,No,16,Yes,No,No,Yes,No internet,No internet,No,No,No,One year,Yes,Electronic check,101.16,737.71,No
CUST0077,Female,1,Yes,Yes,33,No,No,No,No,No,Yes,No internet,Yes,No,Two year,Yes,Mailed check,87.39,7845.04,Yes
CUST0078,Male,0,Yes,No,15,Yes,No,Fiber optic,No internet,No internet,No,Yes,No,Yes,Two year,Yes,Mailed check,44.18,7355.47,No
CUST0079,Female,0,Yes,Yes,59,Yes,No,Fiber optic,No,No internet,No,No,No,No,Two year,No,Mailed check,73.65,5761.39,No
CUST0080,Male,0,Yes,Yes,65,Yes,No,DSL,No internet,No,No,No,Yes,Yes,One year,Yes,Bank transfer,60.19,3465.19,No
CUST0081,Female,1,Yes,No,65,Yes,Yes,Fiber optic,No internet,Yes,No,No,Yes,Yes,One year,No,Credit card,113.89,1602.41,No
CUST0082,Male,0,No,Yes,12,Yes,No,Fiber optic,No,No internet,No,No,No,Yes,One year,Yes,Bank transfer,80.73,1849.77,Yes
CUST0083,Female,0,Yes,Yes,55,Yes,No,DSL,No,No,No internet,Yes,No,No internet,Month-to-month,No,Mailed check,35.84,3600.02,Yes
CUST0084,Male,0,No,Yes,30,Yes,No phone service,Fiber optic,No internet,No internet,Yes,No,No internet,No,One year,Yes,Electronic check,70.21,6168.96,No
CUST0085,Male,0,Yes,No,33,Yes,Yes,DSL,No,No internet,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer,106.26,2191.36,Yes
CUST0086,Female,0,No,Yes,38,Yes,No,Fiber optic,Yes,No internet,No,Yes,Yes,No,Month-to-month,No,Bank transfer,87.15,2555.26,Yes
CUST0087,Male,0,No,Yes,66,No,No,DSL,No internet,No,No internet,No internet,Yes,No internet,One year,Yes,Bank transfer,104.25,4839.56,No
CUST0088,Female,0,No,No,7,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Electronic check,45.04,1978.06,No
CUST0089,Female,0,No,No,54,Yes,Yes,DSL,Yes,No,Yes,No,No,No internet,Month-to-month,Yes,Credit card,108.84,4715.33,Yes
CUST0090,Female,0,No,No,26,Yes,No,DSL,No,No,Yes,Yes,No internet,Yes,Month-to-month,No,Electronic check,95.56,3158.33,Yes
CUST0091,Female,0,No,Yes,52,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,No internet,Two year,No,Bank transfer,92.89,371.51,No
CUST0092,Female,0,Yes,Yes,38,Yes,Yes,No,No,No,No internet,No,Yes,No,One year,No,Bank transfer,54.65,3281.34,No
CUST0093,Female,0,No,Yes,64,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer,108.77,7364.25,Yes
CUST0094,Female,1,Yes,No,16,Yes,No,DSL,No,No internet,No,No,No internet,No,Month-to-month,No,Mailed check,83.8,2415.58,No
CUST0095,Female,0,No,Yes,29,No,No,DSL,No,Yes,No,No,Yes,No internet,Month-to-month,Yes,Bank transfer,105.18,2650.38,Yes
CUST0096,Female,0,No,Yes,52,Yes,No phone service,No,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,56.1,620.93,Yes
CUST0097,Female,0,Yes,No,12,No,Yes,Fiber optic,No,Yes,Yes,No,No internet,No,Month-to-month,No,Bank transfer,34.57,4958.87,Yes
CUST0098,Female,0,No,No,20,Yes,Yes,DSL,No,Yes,No,No,No,Yes,One year,No,Electronic check,53.23,6809.01,No
CUST0099,Male,0,Yes,No,18,Yes,No,No,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,65.53,2888.09,Yes
CUST0100,Male,0,Yes,No,52,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,73.34,1997.94,Yes
CUST0101,Female,0,Yes,No,18,Yes,Yes,No,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Credit card,71.08,7657.23,Yes
CUST0102,Female,0,Yes,Yes,56,Yes,Yes,No,No internet,No,No,No,Yes,No,Month-to-month,No,Bank transfer,74.61,5986.07,No
CUST0103,Female,0,No,No,24,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No internet,Month-to-month,Yes,Bank transfer,104.17,4580.59,No
CUST0104,Female,0,No,Yes,30,Yes,No,DSL,Yes,No internet,Yes,Yes,Yes,No,One year,Yes,Bank transfer,37.01,2513.7,No
CUST0105,Female,0,Yes,Yes,54,Yes,Yes,DSL,No,No internet,No,Yes,No internet,Yes,Month-to-month,No,Credit card,51.61,,Yes
CUST0106,Female,0,No,No,22,Yes,No,Fiber optic,No internet,No internet,Yes,No,No internet,No,Two year,No,Electronic check,108.86,5754.38,Yes
CUST0107,Female,0,No,No,31,Yes,Yes,Fiber optic,Yes,No internet,No internet,No,No,No internet,One year,Yes,Bank transfer,76.05,4222.13,No
CUST0108,Female,0,Yes,No,61,Yes,No,Fiber optic,Yes,No internet,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer,78.34,4212.74,Yes
CUST0109,Male,0,No,Yes,9,No,Yes,Fiber optic,Yes,No internet,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,67.81,682.31,No
CUST0110,Female,0,Yes,No,71,Yes,No,Fiber optic,No,No,No internet,No,No,No internet,One year,No,Electronic check,74.9,4146.34,Yes
CUST0111,Male,0,Yes,No,53,Yes,No,Fiber optic,Yes,Yes,No internet,Yes,No,No,Month-to-month,No,Electronic check,39.81,6599.68,Yes
CUST0112,Female,0,No,No,51,Yes,Yes,DSL,No,Yes,No internet,No internet,No,Yes,One year,No,Electronic check,74.69,7579.71,Yes
CUST0113,Female,0,No,No,19,Yes,No,DSL,No,Yes,Yes,No,Yes,Yes,Two year,No,Mailed check,119.72,942.79,No
CUST0114,Male,1,No,No,31,Yes,Yes,Fiber optic,No internet,No,No,No,No,No internet,Month-to-month,No,Electronic check,76.6,5086.21,No
CUST0115,Female,1,Yes,Yes,13,No,No,Fiber optic,No,No,No,Yes,No,No,One year,Yes,Bank transfer,24.44,4589.94,No
CUST0116,Male,0,Yes,Yes,49,Yes,Yes,DSL,Yes,No internet,Yes,Yes,No,Yes,Two year,Yes,Electronic check,99.64,7133.47,Yes
CUST0117,Female,0,No,Yes,27,Yes,No phone service,Fiber optic,No,No internet,Yes,No,No,No,Month-to-month,Yes,Electronic check,59.65,6034.83,Yes
CUST0118,Female,1,No,No,52,Yes,Yes,Fiber optic,No internet,No,No internet,No,No,No,One year,No,Credit card,35.37,7725.57,No
CUST0119,Male,0,No,No,23,Yes,No,Fiber optic,No,No,No,Yes,Yes,No internet,Month-to-month,No,Mailed check,106.25,7684.26,Yes
CUST0120,Female,0,No,No,21,Yes,Yes,DSL,No internet,No internet,No,No internet,Yes,Yes,Month-to-month,Yes,Electronic check,39.8,,No
CUST0121,Male,0,Yes,Yes,29,Yes,Yes,Fiber optic,No internet,Yes,No internet,No internet,No,No,One year,Yes,Bank transfer,112.08,5830.27,Yes
CUST0122,Female,0,No,No,62,Yes,No,DSL,Yes,No,No,No,Yes,No internet,One year,Yes,Electronic check,64.18,4291.13,Yes
CUST0123,Male,0,Yes,No,3,Yes,No phone service,No,No,Yes,No,No internet,No,Yes,Two year,No,Electronic check,94.28,1795.36,Yes
CUST0124,Male,0,Yes,No,58,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,74.7,1639.47,No
CUST0125,Female,0,No,Yes,7,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No internet,No internet,Month-to-month,No,Credit card,45.66,740.57,Yes
CUST0126,Female,0,No,No,11,No,Yes,DSL,Yes,No internet,No,Yes,No,No,Month-to-month,No,Bank transfer,87.11,6384.81,No
CUST0127,Male,0,No,Yes,30,Yes,Yes,Fiber optic,No,No,No internet,No,Yes,No,Month-to-month,No,Bank transfer,115.79,2663.59,Yes
CUST0128,Female,0,Yes,No,33,Yes,Yes,Fiber optic,No internet,Yes,No internet,Yes,Yes,No,Month-to-month,Yes,Credit card,96.96,6870.05,No
CUST0129,Female,0,No,Yes,48,Yes,No,DSL,Yes,Yes,No internet,No internet,No internet,Yes,Month-to-month,Yes,Credit card,80.4,4905.69,Yes
CUST0130,Female,0,No,Yes,56,Yes,Yes,Fiber optic,No internet,No,No,Yes,Yes,No internet,Month-to-month,No,Bank transfer,119.06,5421.7,Yes
CUST0131,Male,1,Yes,Yes,25,Yes,Yes,DSL,Yes,No internet,No internet,No,No,Yes,Month-to-month,No,Bank transfer,46.53,2404.22,No
CUST0132,Male,0,No,No,17,Yes,No,DSL,Yes,No,Yes,No internet,No,Yes,Month-to-month,Yes,Electronic check,26.23,3712.62,Yes
CUST0133,Male,0,Yes,No,37,Yes,Yes,Fiber optic,No internet,No,Yes,Yes,Yes,Yes,Two year,No,Electronic check,23.21,3357.31,No
CUST0134,Male,0,No,Yes,49,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,One year,No,Bank transfer,91.07,1961.94,No
CUST0135,Male,0,Yes,Yes,7,Yes,Yes,No,No,No,No,No,No,No internet,Month-to-month,Yes,Bank transfer,103.02,6676.85,Yes
CUST0136,Male,0,No,No,40,Yes,No,Fiber optic,Yes,No,Yes,Yes,No internet,No,Two year,No,Credit card,83.51,5014.47,No
CUST0137,Male,0,No,No,5,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No internet,One year,No,Mailed check,110.5,395.71,No
CUST0138,Male,0,Yes,Yes,68,Yes,No,DSL,No,No,Yes,Yes,No internet,No,Two year,Yes,Bank transfer,89.8,6577.34,No
CUST0139,Male,0,Yes,No,43,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Bank transfer,57.1,937.7,No
CUST0140,Female,0,No,No,63,Yes,No,Fiber optic,No,No,No,No internet,No internet,No,Month-to-month,No,Electronic check,38.13,3289.2,No
CUST0141,Male,0,Yes,No,28,No,Yes,DSL,No internet,No internet,No,No internet,Yes,No internet,Two year,Yes,Bank transfer,112.46,4612.93,Yes
CUST0142,Female,0,Yes,No,27,Yes,No,No,No,No internet,Yes,Yes,Yes,No,Month-to-month,Yes,Mailed check,30.36,160.44,Yes
CUST0143,Female,0,Yes,Yes,10,Yes,No,DSL,No internet,No,No,No,No internet,Yes,Two year,No,Mailed check,74.3,5257.97,Yes
CUST0144,Female,0,Yes,No,64,Yes,No,No,No,No,No,No,No internet,Yes,Two year,Yes,Mailed check,,5311.65,No
CUST0145,Male,1,No,No,18,No,Yes,DSL,No,Yes,No,No internet,No,Yes,Two year,Yes,Electronic check,47.14,5254.96,No
CUST0146,Male,0,No,Yes,8,Yes,Yes,No,Yes,No internet,No,Yes,No,No,Month-to-month,No,Mailed check,84.58,1391.4,Yes
CUST0147,Male,0,Yes,Yes,26,Yes,Yes,Fiber optic,No,No,No,No,No internet,No internet,Month-to-month,Yes,Bank transfer,43.12,2120.29,Yes
CUST0148,Male,0,Yes,No,33,Yes,Yes,DSL,No internet,Yes,No internet,No,Yes,Yes,Month-to-month,No,Mailed check,111.64,2054.27,Yes
CUST0149,Female,0,Yes,No,43,Yes,Yes,DSL,Yes,No,Yes,No internet,No,Yes,Two year,Yes,Mailed check,60.6,7684.53,No
CUST0150,Male,0,Yes,No,67,Yes,No,Fiber optic,Yes,No internet,No,Yes,No internet,Yes,Month-to-month,Yes,Electronic check,87.74,633.47,Yes
CUST0151,Male,0,No,No,14,Yes,Yes,No,No,Yes,No,Yes,Yes,No,One year,No,Electronic check,92.78,3487.22,No
CUST0152,Male,0,No,Yes,50,Yes,No,DSL,Yes,No,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,88.29,6982.91,No
CUST0153,Male,0,Yes,Yes,12,Yes,No,DSL,No internet,No,Yes,Yes,No,Yes,Month-to-month,No,Mailed check,110.34,6178.78,Yes
CUST0154,Male,0,Yes,Yes,48,Yes,No,Fiber optic,No internet,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer,43.11,6597.29,Yes
CUST0155,Female,0,Yes,No,69,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,No,Credit card,28.61,7781.12,Yes
CUST0156,Male,0,No,No,55,Yes,No,Fiber optic,Yes,No internet,No internet,No,No internet,No,Two year,No,Electronic check,25.55,3159.37,No
CUST0157,Female,0,Yes,No,50,Yes,Yes,Fiber optic,No,No internet,No,Yes,No,No,Month-to-month,Yes,Electronic check,107.78,2546.28,No
CUST0158,Male,0,No,No,36,No,No,DSL,No,Yes,No,Yes,No internet,Yes,Two year,Yes,Mailed check,117.33,342.21,No
CUST0159,Female,0,Yes,Yes,16,Yes,No,No,No internet,No internet,No internet,Yes,No internet,No,One year,Yes,Mailed check,50.25,1285.15,No
CUST0160,Male,0,No,Yes,57,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,No,Bank transfer,89.35,4539.92,Yes
CUST0161,Male,1,Yes,No,28,Yes,No,DSL,No,No,No internet,No,Yes,Yes,One year,Yes,Credit card,20.89,1345.52,No
CUST0162,Female,0,No,Yes,32,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card,38.86,5916.81,Yes
CUST0163,Female,0,Yes,No,59,No,Yes,Fiber optic,No internet,No internet,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,88.93,394.14,Yes
CUST0164,Female,0,Yes,No,54,Yes,No,DSL,No,No,No internet,No,No,No,One year,Yes,Credit card,26.59,2149.96,Yes
CUST0165,Male,0,Yes,Yes,9,Yes,Yes,Fiber optic,No,Yes,No internet,No,No,Yes,Month-to-month,Yes,Electronic check,66.85,5594.08,Yes
CUST0166,Female,0,No,No,46,Yes,No,DSL,Yes,No internet,No internet,No,No,Yes,Month-to-month,No,Bank transfer,86.26,2118.47,Yes
CUST0167,Male,0,Yes,No,22,Yes,Yes,Fiber optic,No,No,Yes,No internet,Yes,No internet,Month-to-month,Yes,Bank transfer,96.6,5857.21,Yes
CUST0168,Male,0,No,Yes,20,Yes,Yes,No,No,Yes,No internet,Yes,Yes,No,One year,No,Bank transfer,,7967.32,No
CUST0169,Female,0,No,No,12,Yes,Yes,DSL,No,No,No internet,No,No,No,Month-to-month,No,Electronic check,83.03,6396.96,Yes
CUST0170,Female,0,Yes,No,32,Yes,Yes,Fiber optic,No,No,No,No,No,No internet,Month-to-month,No,Electronic check,73.96,2800.5,No
CUST0171,Male,1,Yes,Yes,23,Yes,No,No,Yes,No internet,Yes,No,Yes,No,Month-to-month,No,Mailed check,25.23,7214.68,No
CUST0172,Male,0,Yes,No,10,Yes,No,No,Yes,No,Yes,No internet,No,No,Two year,No,Electronic check,94.28,504.32,Yes
CUST0173,Female,0,No,Yes,16,Yes,No,Fiber optic,Yes,Yes,No internet,Yes,Yes,No,Month-to-month,Yes,Electronic check,37.24,5827.55,Yes
CUST0174,Female,0,Yes,No,67,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,One year,No,Bank transfer,23.18,284.25,No
CUST0175,Female,1,No,Yes,46,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,One year,No,Mailed check,65.12,1478.99,Yes
CUST0176,Male,0,No,Yes,24,Yes,No,No,Yes,Yes,Yes,No,Yes,No,One year,No,Bank transfer,106.56,7901.93,No
CUST0177,Male,0,Yes,Yes,20,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Month-to-month,No,Electronic check,35.08,2950.99,No
CUST0178,Male,1,Yes,No,11,No,No,DSL,No internet,No internet,No,No internet,Yes,Yes,One year,Yes,Credit card,21.29,6581.95,Yes
CUST0179,Male,1,Yes,Yes,36,Yes,Yes,Fiber optic,No,Yes,No,No internet,Yes,Yes,Month-to-month,Yes,Electronic check,31.0,3071.09,Yes
CUST0180,Male,1,Yes,Yes,41,Yes,Yes,Fiber optic,No,No,No internet,No,Yes,Yes,Month-to-month,Yes,Credit card,56.37,6736.22,Yes
